56|37
94|13
94|53
42|22
42|55
42|13
17|94
17|48
17|66
17|56
55|39
55|32
55|47
55|74
55|91
51|98
51|39
51|65
51|22
51|55
51|82
52|69
52|44
52|58
52|27
52|42
52|32
52|89
73|74
73|66
73|69
73|57
73|99
73|32
73|96
73|52
18|94
18|22
18|91
18|32
18|99
18|24
18|66
18|69
18|49
37|57
37|24
37|39
37|96
37|29
37|73
37|19
37|18
37|81
37|52
82|28
82|48
82|94
82|78
82|74
82|98
82|96
82|17
82|47
82|38
82|71
75|92
75|19
75|86
75|18
75|91
75|13
75|55
75|44
75|22
75|11
75|87
75|37
11|37
11|36
11|51
11|81
11|91
11|22
11|27
11|73
11|92
11|29
11|86
11|44
11|82
74|56
74|17
74|32
74|75
74|87
74|69
74|66
74|49
74|99
74|38
74|58
74|24
74|78
74|57
63|32
63|27
63|13
63|92
63|56
63|42
63|69
63|17
63|87
63|11
63|49
63|37
63|89
63|58
63|38
24|99
24|89
24|87
24|92
24|75
24|63
24|52
24|32
24|78
24|48
24|71
24|94
24|69
24|66
24|49
24|38
39|47
39|73
39|22
39|63
39|74
39|98
39|57
39|99
39|18
39|24
39|56
39|71
39|28
39|32
39|66
39|91
39|52
53|73
53|71
53|46
53|81
53|12
53|82
53|18
53|98
53|99
53|86
53|22
53|28
53|63
53|47
53|39
53|24
53|49
53|57
44|29
44|37
44|51
44|22
44|98
44|39
44|19
44|82
44|24
44|86
44|96
44|12
44|65
44|73
44|55
44|13
44|81
44|91
44|42
12|28
12|24
12|52
12|86
12|71
12|49
12|22
12|91
12|98
12|82
12|57
12|81
12|73
12|96
12|17
12|18
12|63
12|47
12|74
12|65
47|63
47|66
47|24
47|99
47|11
47|56
47|57
47|28
47|38
47|58
47|48
47|69
47|96
47|17
47|52
47|75
47|32
47|78
47|49
47|46
47|98
98|96
98|38
98|71
98|87
98|48
98|75
98|57
98|69
98|28
98|52
98|63
98|66
98|99
98|32
98|46
98|58
98|11
98|78
98|94
98|17
98|49
98|56
58|18
58|11
58|13
58|37
58|42
58|86
58|81
58|55
58|51
58|22
58|87
58|44
58|91
58|89
58|53
58|27
58|12
58|19
58|75
58|39
58|92
58|29
58|65
32|94
32|89
32|69
32|37
32|12
32|86
32|19
32|78
32|75
32|11
32|51
32|29
32|13
32|48
32|87
32|44
32|36
32|53
32|42
32|58
32|81
32|27
32|38
32|92
89|37
89|42
89|47
89|12
89|19
89|98
89|65
89|82
89|73
89|39
89|18
89|29
89|91
89|81
89|53
89|96
89|22
89|55
89|44
89|74
